Filter_name,LamEff,A_over_E_B_V_SandF,A_SandF,A_over_E_B_V_SFD,A_SFD
CTIO U,0.3734,4.107,0.19,4.968,0.23
CTIO B,0.4309,3.641,0.169,4.325,0.2
CTIO V,0.5517,2.682,0.124,3.24,0.15
CTIO R,0.652,2.119,0.098,2.634,0.122
CTIO I,0.8007,1.516,0.07,1.962,0.091
DSS-II g,0.4621,3.381,0.157,3.907,0.181
DSS-II r,0.6546,2.088,0.097,2.649,0.123
DSS-II i,0.8111,1.487,0.069,1.893,0.088
SDSS u,0.3587,4.239,0.196,5.155,0.239
SDSS g,0.4717,3.303,0.153,3.793,0.176
SDSS r,0.6165,2.285,0.106,2.751,0.127
SDSS i,0.7476,1.698,0.079,2.086,0.097
SDSS z,0.8923,1.263,0.059,1.479,0.069
UKIRT J,1.248,0.709,0.033,0.902,0.042
UKIRT H,1.659,0.449,0.021,0.576,0.027
UKIRT K,2.19,0.302,0.014,0.367,0.017
2MASS J,1.23,0.723,0.034,0.937,0.043
2MASS H,1.64,0.46,0.021,0.591,0.027
2MASS Ks,2.16,0.31,0.014,0.382,0.018
IRAC-1,3.52,0.178,0.008,0.22,0.01
IRAC-2,4.46,0.148,0.007,0.183,0.008
IRAC-3,5.66,0.13,0.006,0.162,0.008
IRAC-4,7.68,0.122,0.006,0.151,0.007
WISE-1,3.32,0.189,0.009,0.234,0.011
WISE-2,4.57,0.146,0.007,0.18,0.008
